Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0141A","Wicklow Bray Wurzburg Road","SPO.IE.IE0141ASample2_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2016","7.757","ug/m3","65.03","1","Background","Suburban","-6.1217","53.1872","47.0","","","","E1a/validated data AQ e-Reporting","03/07/2025 21:59:06","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IE/SPO.IE.IE0141ASample2_6001.parquet","day"
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0142A","Longford Town Dublin Road Railway","SPO.IE.IE0142ASample1_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2016","11.901","ug/m3","98.36","1","Traffic","Suburban","-7.7914","53.7256","48.0","","","","E1a/validated data AQ e-Reporting","03/07/2025 21:59:06","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IE/SPO.IE.IE0142ASample1_6001.parquet","day"
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0137A","Clare Ennis Drumbiggle Road","SPO.IE.IE0137ASample2_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2016","12.049","ug/m3","85.79","1","Background","Suburban","-8.9893","52.8432","5.0","","","","E1a/validated data AQ e-Reporting","03/07/2025 21:59:06","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IE/SPO.IE.IE0137ASample2_6001.parquet","day"
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0110A","Cork Ballinlough Heatherton Park","SPO.IE.IE0110ASample1_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2016","7.067","ug/m3","100.00","1","Background","Suburban","-8.4571","51.8819","4.0","Cork                                                                            ","IE002C1                                           ","118713","E1a/validated data AQ e-Reporting","03/07/2025 21:59:06","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IE/SPO.IE.IE0110ASample1_6001.parquet","day"
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0145A","Mayo Claremorris","SPO.IE.IE0145ASample1_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2016","5.756","ug/m3","90.98","1","Background","Rural","-9.0127","53.7039","44.0","","","","E1a/validated data AQ e-Reporting","03/07/2025 21:59:06","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IE/SPO.IE.IE0145ASample1_6001.parquet","day"
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0106A","Dublin Marino Brian Road","SPO.IE.IE0106ASample1_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2016","7.380","ug/m3","98.63","1","Background","Suburban","-6.2279","53.3682","14.0","Dublin                                                                          ","IE001C1                                           ","516255","E1a/validated data AQ e-Reporting","03/07/2025 21:59:06","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IE/SPO.IE.IE0106ASample1_6001.parquet","day"
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE003AP","Dublin Finglas Mellowes Road","SPO.IE.IE003APSample1_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2016","8.454","ug/m3","92.08","1","Background","Suburban","-6.3053","53.3903","64.0","Dublin                                                                          ","IE001C1                                           ","516255","E1a/validated data AQ e-Reporting","03/07/2025 21:59:06","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IE/SPO.IE.IE003APSample1_6001.parquet","day"
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0105A","Dublin Coleraine Street","SPO.IE.IE0105ASample2_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2016","8.700","ug/m3","98.91","1","Background","Urban","-6.2667","53.3472","20.0","Dublin                                                                          ","IE001C1                                           ","516255","E1a/validated data AQ e-Reporting","03/07/2025 21:59:06","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IE/SPO.IE.IE0105ASample2_6001.parquet","day"
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0028A","Dublin Rathmines Wynnefield Road","SPO.IE.IE0028ASample2_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2016","10.037","ug/m3","100.00","1","Background","Urban","-6.2672","53.3220","27.0","Dublin                                                                          ","IE001C1                                           ","516255","E1a/validated data AQ e-Reporting","03/07/2025 21:59:06","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IE/SPO.IE.IE0028ASample2_6001.parquet","day"
"Ireland","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","IE0106A","Dublin Marino Brian Road","SPO.IE.IE0106ASample1_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2017","6.901","ug/m3","99.18","1","Background","Suburban","-6.2279","53.3682","14.0","Dublin                                                                          ","IE001C1                                           ","516255","E1a/validated data AQ e-Reporting","03/07/2025 21:59:06","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IE/SPO.IE.IE0106ASample1_6001.parquet","day"
